user_id,trip_date,origin,destination,distance_km,mode_chosen,baseline_mode,co2_trip_g,co2_baseline_g,co2_saved_g,cost_trip_inr,cost_baseline_inr,money_saved_inr,cumulative_co2_saved_g,cumulative_money_saved_inr
U001,2024-09-02,Andheri,Churchgate,30.0,Car_EV,Car_Petrol,4273.2,4486.7,213.5,38.8,194.5,155.7,213.5,155.7
U001,2024-09-07,Andheri,Churchgate,30.0,Metro,Car_Petrol,263.5,4413.1,4149.6,33.8,196.0,162.2,4363.1,317.9
U001,2024-09-08,Andheri,Churchgate,30.0,Metro,Car_Petrol,248.5,4710.0,4461.5,41.7,197.1,155.4,8824.6,473.3
U001,2024-09-09,Andheri,Churchgate,30.0,Metro,Car_Petrol,231.5,4501.0,4269.5,39.9,198.6,158.7,13094.1,632.0
U001,2024-09-09,Goregaon,Andheri,7.0,Local_Train,Car_Petrol,48.0,1008.0,960.0,7.8,46.8,39.0,14054.1,671.0
U001,2024-09-12,Thane,Dadar,28.0,Local_Train,Car_Petrol,169.1,3856.9,3687.8,15.3,191.6,176.3,17741.9,847.3
U001,2024-09-12,Andheri,Churchgate,30.0,Metro,Car_Petrol,205.7,4429.3,4223.6,42.9,204.7,161.8,21965.5,1009.1
U001,2024-09-15,Andheri,Churchgate,30.0,Metro,Car_Petrol,229.5,4430.1,4200.6,38.7,187.3,148.6,26166.1,1157.7
U001,2024-09-17,Andheri,Churchgate,30.0,Metro,Car_Petrol,279.2,4381.7,4102.5,37.2,209.2,172.0,30268.6,1329.7
U001,2024-09-18,Andheri,Churchgate,30.0,Metro,Car_Petrol,223.9,4612.1,4388.2,45.4,178.4,133.0,34656.8,1462.7
U001,2024-09-19,Goregaon,Andheri,7.0,Metro,Car_Petrol,57.5,964.4,906.9,17.9,44.1,26.2,35563.7,1488.9
U001,2024-09-21,Andheri,Churchgate,30.0,Metro,Car_Petrol,257.9,4270.7,4012.8,39.9,193.7,153.8,39576.5,1642.7
U001,2024-09-21,Andheri,Churchgate,30.0,Metro,Car_Petrol,254.2,4451.7,4197.5,32.2,183.6,151.4,43774.0,1794.1
U001,2024-09-23,Andheri,Churchgate,30.0,Metro,Car_Petrol,298.8,4315.8,4017.0,39.2,197.7,158.5,47791.0,1952.6
U001,2024-09-24,Andheri,Churchgate,30.0,Metro,Car_Petrol,211.8,4360.8,4149.0,39.9,202.2,162.3,51940.0,2114.9
U001,2024-09-24,Andheri,Churchgate,30.0,Metro,Car_Petrol,214.2,4426.6,4212.4,44.7,188.1,143.4,56152.4,2258.3
U001,2024-09-25,Vile Parle,Andheri,5.5,Auto,Car_Petrol,389.0,841.9,452.9,16.5,36.6,20.1,56605.3,2278.4
U001,2024-09-26,Andheri,Churchgate,30.0,Metro,Car_Petrol,232.9,4417.7,4184.8,45.0,203.2,158.2,60790.1,2436.6
U001,2024-09-27,Andheri,Churchgate,30.0,Metro,Car_Petrol,266.4,4002.7,3736.3,41.4,176.1,134.7,64526.4,2571.3
U001,2024-09-27,Andheri,Churchgate,30.0,Car_EV,Car_Petrol,,4306.2,638.6,42.0,196.7,154.7,65165.0,2726.0
U001,2024-10-02,Andheri,Churchgate,30.0,Metro,Car_Petrol,266.7,4550.1,4283.4,42.9,198.6,155.7,69448.4,2881.7
U001,2024-10-06,Andheri,Churchgate,30.0,Metro,Car_Petrol,240.8,4609.3,4368.5,39.2,186.1,146.9,73816.9,3028.6
U001,2024-10-06,Andheri,Churchgate,30.0,Metro,Car_Petrol,213.4,4621.6,4408.2,34.7,183.3,148.6,78225.1,3177.2
U001,2024-10-07,Andheri,Churchgate,30.0,Metro,Car_Petrol,198.0,4684.5,4486.5,38.6,188.3,149.7,82711.6,3326.9
U001,2024-10-10,Santacruz,BKC,8.0,Bus_BEST,Car_Petrol,115.2,1191.0,1075.8,10.2,51.5,41.3,83787.4,3368.2
U001,2024-10-11,Andheri,Churchgate,30.0,Metro,Car_Petrol,224.0,4498.4,4274.4,40.2,187.7,147.5,88061.8,3515.7
U001,2024-10-12,Andheri,Churchgate,30.0,Metro,Car_Petrol,235.9,4214.9,3979.0,42.1,200.4,158.3,92040.8,3674.0
U001,2024-10-12,Vile Parle,Andheri,5.5,Bus_BEST,Car_Petrol,106.1,725.5,619.4,9.6,36.6,27.0,92660.2,3701.0
U001,2024-10-14,Andheri,Churchgate,30.0,Metro,Car_Petrol,259.2,4125.3,3866.1,36.5,198.7,162.2,96526.3,3863.2
U001,2024-10-20,Andheri,Churchgate,30.0,Metro,Car_Petrol,219.9,4284.2,4064.3,39.9,207.3,167.4,100590.6,4030.6
U001,2024-10-21,Andheri,Churchgate,30.0,Metro,Car_Petrol,249.8,4138.1,3888.3,38.0,201.3,163.3,104478.9,4193.9
U001,2024-10-24,Sion,Dadar,5.0,Bus_BEST,Car_Petrol,99.0,729.2,630.2,7.7,33.0,25.3,105109.1,4219.2
U001,2024-10-25,Andheri,Churchgate,30.0,Metro,Car_Petrol,285.0,4337.4,4052.4,39.8,183.1,143.3,109161.5,4362.5
U001,2024-10-25,Andheri,Churchgate,30.0,Metro,Car_Petrol,232.5,4648.2,4415.7,,206.3,164.9,113577.2,4527.4
U001,2024-10-26,Andheri,Churchgate,30.0,Metro,Car_Petrol,263.0,4224.9,3961.9,41.6,207.4,165.8,117539.1,4693.2
U001,2024-10-26,Andheri,Churchgate,30.0,Metro,Car_Petrol,273.4,4471.2,4197.8,38.7,191.8,153.1,121736.9,4846.3
U001,2024-10-27,Kurla,Nariman Point,26.0,Bus_BEST,Car_Petrol,375.4,3767.2,3391.8,17.5,162.2,144.7,125128.7,4991.0
U001,2024-10-27,Andheri,Churchgate,30.0,Metro,Car_Petrol,227.7,4216.5,3988.8,37.9,202.4,164.5,129117.5,5155.5
U001,2024-10-28,Andheri,Churchgate,30.0,Metro,Car_Petrol,293.3,4278.4,3985.1,34.0,177.3,143.3,133102.6,5298.8
U001,2024-10-29,Andheri,Churchgate,30.0,Metro,Car_Petrol,232.8,3984.6,3751.8,36.2,198.9,162.7,136854.4,5461.5
U001,2024-10-29,Bandra,CST,24.0,Bus_BEST,Car_Petrol,288.5,3684.9,3396.4,16.4,167.7,151.3,140250.8,5612.8
U001,2024-10-30,Andheri,Churchgate,30.0,Metro,Car_Petrol,237.1,4751.3,4514.2,42.7,191.3,148.6,144765.0,5761.4
U001,2024-10-30,Andheri,Churchgate,30.0,Metro,Car_Petrol,267.0,4380.6,4113.6,42.7,197.4,154.7,148878.6,5916.1
U001,2024-11-02,Andheri,Churchgate,30.0,Metro,Car_Petrol,240.2,4446.5,4206.3,46.8,196.0,149.2,153084.9,6065.3
U001,2024-11-02,Thane,Dadar,28.0,Bus_BEST,Car_Petrol,510.1,4082.7,3572.6,20.4,191.5,171.1,156657.5,6236.4
